"No.","Time","Source","Destination","Protocol","Length","Info"
"123","3.670438","192.168.0.5","192.168.0.2","TCP","66","6096  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"124","3.671562","192.168.0.5","192.168.0.2","TCP","66","6097  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"125","3.671714","192.168.0.5","192.168.0.2","TCP","66","6098  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"126","3.672876","192.168.0.5","192.168.0.2","TCP","66","6099  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"127","3.672940","192.168.0.5","192.168.0.2","TCP","66","6100  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"128","3.674325","192.168.0.5","192.168.0.2","TCP","66","6101  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"129","3.675127","192.168.0.5","192.168.0.2","TCP","66","6102  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"130","3.675191","192.168.0.5","192.168.0.2","TCP","66","6103  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"131","3.675835","192.168.0.5","192.168.0.2","TCP","66","6104  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"132","3.676642","192.168.0.5","192.168.0.2","TCP","66","6105  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"133","3.677414","192.168.0.5","192.168.0.2","TCP","66","6106  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"134","3.678444","192.168.0.5","192.168.0.2","TCP","66","6107  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"135","3.680444","192.168.0.5","192.168.0.2","TCP","66","6108  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"136","3.684389","192.168.0.5","192.168.0.2","TCP","66","6109  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"137","3.684488","192.168.0.5","192.168.0.2","TCP","66","6110  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"138","3.684524","192.168.0.5","192.168.0.2","TCP","66","6111  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"139","3.684552","192.168.0.5","192.168.0.2","TCP","66","6112  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1"
